Issue #,Type,Original Text,Suggested Fix,Severity,Explanation
1,Spelling,pol ar,polar,High,The word 'polar' is misspelt with a space in between.
2,Spelling,inhe rent,inherent,High,The word 'inherent' is misspelt with a space in between.
3,Spelling,Simulation t est beds,Simulation test beds,High,"There is an incorrect space within the word 'test', which is a spelling error."
4,Spelling,cross verified,cross-verified,High,The term 'cross-verified' should be hyphenated as it is a compound adjective.
5,Spelling,require ments,requirements,High,"There is an incorrect space within the word 'requirements', which is a spelling error."
6,Spelling,develo pmental,developmental,High,"There is an incorrect space within the word 'developmental', which is a spelling error."
7,Grammar,payload s like,payloads like,High,"There is an unnecessary space in 'payload s', which should be 'payloads'."
8,Grammar,ground systems,ground systems,High,"There is an unnecessary space in 'g round', which should be 'ground'."
9,Grammar,earth-observing radar satellite h as,earth-observing radar satellite has,High,"There is an unnecessary space in 'h as', which should be 'has'."
10,Spelling,thought s,thoughts,High,There is an unnecessary space in the word 'thoughts'.
11,Spelling,tr ansforming,transforming,High,There is an unnecessary space in the word 'transforming'.
12,Spelling,Som anath,Somanath,High,There is an unnecessary space in the name 'Somanath'.
13,Grammar,"by virtue of courses at the country’s top-notch institutions like IIMs, the se graduates","by virtue of courses at the country’s top-notch institutions like IIMs, these graduates",High,The word 'the se' should be corrected to 'these' to maintain proper grammar.
14,Spelling,ogrammes,programmes,High,The word 'ogrammes' is misspelt and should be corrected to 'programmes'.
15,Grammar,the se graduates,these graduates,High,The phrase 'the se' is incorrectly spaced and should be 'these'.
16,Grammar,describe s,describes,High,The verb 'describes' is incorrectly split and should be joined.
17,Grammar,the ai m,the aim,High,The phrase 'the ai m' is incorrectly spaced and should be 'the aim'.
18,Grammar,was establish ed,was established,High,The phrase 'was establish ed' is incorrectly spaced and should be 'was established'.
19,Spelling,chair person,chairperson,High,The word 'chair person' is incorrectly spaced and should be 'chairperson'.
20,Spelling,ma ny,many,High,The word 'ma ny' is a misspelling and should be corrected to 'many'.
21,Spelling,fl ight,flight,High,The word 'fl ight' is a misspelling and should be corrected to 'flight'.
22,Spelling,f or,for,High,The word 'f or' is a misspelling and should be corrected to 'for'.
23,Spelling,h ave,have,High,The word 'h ave' is a misspelling and should be corrected to 'have'.
24,Grammar,alumnus of IIM Calcutta and been in,alumnus of IIM Calcutta and has been in,High,The verb 'has' is missing for proper present perfect tense construction.
25,Spelling,busines s ethics,business ethics,High,There is an incorrect space in the word 'business'.
26,Spelling,Pennsyl vania,Pennsylvania,High,There is an incorrect space in the word 'Pennsylvania'.
27,Structure,Family Constitutions & Business Continuit,Family Constitutions & Business Continuity,High,The word 'Continuity' is incomplete and needs to be corrected.
